"KW";"Monat";"Route";"Objekt";"Ort";"Leistung";"Kategorie";"Dauer"
"6";"2";"H01";"WSG-043";"Dübendorf";"Fensterreinigung";"SR";"102"
"6";"2";"H01";"WSG-097";"Wallisellen";"Fensterreinigung";"SR";"24"
"7";"2";"H01";"WSG-047";"Dübendorf";"Fensterreinigung";"SR";"43"
"8";"2";"H01";"WSG-095";"Wallisellen";"Fensterreinigung";"SR";"24"
"19";"5";"H01";"WSG-043";"Dübendorf";"Fensterreinigung";"SR";"102"
"19";"5";"H01";"WSG-097";"Wallisellen";"Fensterreinigung";"SR";"24"
"20";"5";"H01";"WSG-047";"Dübendorf";"Fensterreinigung";"SR";"43"
"21";"5";"H01";"WSG-095";"Wallisellen";"Fensterreinigung";"SR";"24"
"32";"8";"H01";"WSG-043";"Dübendorf";"Fensterreinigung";"SR";"102"
"32";"8";"H01";"WSG-097";"Wallisellen";"Fensterreinigung";"SR";"24"
"33";"8";"H01";"WSG-047";"Dübendorf";"Fensterreinigung";"SR";"43"
"34";"8";"H01";"WSG-095";"Wallisellen";"Fensterreinigung";"SR";"24"
"45";"11";"H01";"WSG-043";"Dübendorf";"Fensterreinigung";"SR";"102"
"45";"11";"H01";"WSG-097";"Wallisellen";"Fensterreinigung";"SR";"24"
"46";"11";"H01";"WSG-047";"Dübendorf";"Fensterreinigung";"SR";"43"
"47";"11";"H01";"WSG-095";"Wallisellen";"Fensterreinigung";"SR";"24"
"6";"2";"H02";"WSG-082";"Uster";"Fensterreinigung";"SR";"24"
"7";"2";"H02";"WSG-062";"Pfäffikon";"Fensterreinigung";"SR";"44"
"7";"2";"H02";"WSG-083";"Volketswil";"Fensterreinigung";"SR";"23"
"8";"2";"H02";"WSG-077";"Uster";"Fensterreinigung";"SR";"23"
"8";"2";"H02";"WSG-102";"Wetzikon (ZH)";"Fensterreinigung";"SR";"24"
"19";"5";"H02";"WSG-082";"Uster";"Fensterreinigung";"SR";"24"
"20";"5";"H02";"WSG-062";"Pfäffikon";"Fensterreinigung";"SR";"44"
"20";"5";"H02";"WSG-083";"Volketswil";"Fensterreinigung";"SR";"23"
"21";"5";"H02";"WSG-077";"Uster";"Fensterreinigung";"SR";"23"
"21";"5";"H02";"WSG-102";"Wetzikon (ZH)";"Fensterreinigung";"SR";"24"
"32";"8";"H02";"WSG-082";"Uster";"Fensterreinigung";"SR";"24"
"33";"8";"H02";"WSG-062";"Pfäffikon";"Fensterreinigung";"SR";"44"
"33";"8";"H02";"WSG-083";"Volketswil";"Fensterreinigung";"SR";"23"
"34";"8";"H02";"WSG-077";"Uster";"Fensterreinigung";"SR";"23"
"34";"8";"H02";"WSG-102";"Wetzikon (ZH)";"Fensterreinigung";"SR";"24"
"45";"11";"H02";"WSG-082";"Uster";"Fensterreinigung";"SR";"24"
