"Route";"Woche";"Tag";"Von";"Bis";"Dauer";"Art";"Kategorie";"Objekt";"Ort";"Leistungen"
"H01";"1";"Mo";"07:00";"07:50";"50";"Prep Homebase";"";"WSG-HB";"Kloten";"Material laden / Woche ruesten"
"H01";"1";"Mo";"07:50";"07:55";"5";"Fahrt";"";"";"Kloten";""
"H01";"1";"Mo";"07:55";"12:00";"245";"Einsatz";"GU+TH+UR";"WSG-053";"Kloten";"Entsorgung/Kehrichtdienst, Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung"
"H01";"1";"Mo";"12:00";"13:00";"60";"Mittagsruhe";"";"";"";""
"H01";"1";"Mo";"13:00";"15:14";"134";"Einsatz (Forts.)";"GU+TH+UR";"WSG-053";"Kloten";"Entsorgung/Kehrichtdienst, Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung"
"H01";"1";"Mo";"15:14";"15:22";"8";"Fahrt";"";"";"Wallisellen";""
"H01";"1";"Mo";"15:22";"16:19";"57";"Einsatz";"TH+UR";"WSG-093";"Wallisellen";"Technischer Hauswart (Kontrollgang/Kleinreparaturen), Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"1";"Mo";"16:19";"16:24";"5";"Fahrt";"";"";"Wallisellen";""
"H01";"1";"Mo";"16:24";"17:34";"70";"Einsatz";"GU+UR";"WSG-097";"Wallisellen";"Gartenpflege/Gruenunterhalt (Mrz-Nov), Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"1";"Di";"07:00";"11:16";"256";"Einsatz";"SR+TH+UR";"WSG-054";"Kloten";"Sanitaerreinigung, Technischer Hauswart (Kontrollgang/Kleinreparaturen), Tiefgaragenreinigung, Treppenhausreinigung, Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"1";"Di";"11:16";"11:24";"8";"Fahrt";"";"";"Wallisellen";""
"H01";"1";"Di";"11:24";"12:00";"36";"Einsatz";"GU+UR";"WSG-092";"Wallisellen";"Gartenpflege/Gruenunterhalt (Mrz-Nov), Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"1";"Di";"12:00";"13:00";"60";"Mittagsruhe";"";"";"";""
"H01";"1";"Di";"13:00";"13:20";"20";"Einsatz (Forts.)";"GU+UR";"WSG-092";"Wallisellen";"Gartenpflege/Gruenunterhalt (Mrz-Nov), Umgebungsunterhalt (Wege/Vorplatz), Unterhaltsreinigung"
"H01";"1";"Di";"13:20";"13:28";"8";"Fahrt";"";"";"Dübendorf";""
"H01";"1";"Di";"13:28";"15:19";"111";"Einsatz";"GU+TH+UR";"WSG-047";"Dübendorf";"Entsorgung/Kehrichtdienst, Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung"
"H01";"1";"Di";"15:19";"15:20";"1";"Fahrt";"";"";"Dübendorf";""
"H01";"1";"Di";"15:20";"17:11";"111";"Einsatz";"GU+TH+UR";"WSG-046";"Dübendorf";"Entsorgung/Kehrichtdienst, Gartenpflege/Gruenunterhalt (Mrz-Nov), Technischer Hauswart (Kontrollgang/Kleinreparaturen), Treppenhausreinigung"
